"WOREDA","KEBELE","WATERSHED","WSNAME","AGRO","TYPE","YEAR","MONTHNUM","MONTHNAME","PRECIP_MEAN","TREES_PCT","CROPS_PCT","SCRUB_SHRUB_PCT","BUILT_PCT","BARREN_PCT","VEGETATION_PCT","NONVEGETATION_PCT","NDVI_MEAN"
"Babile","Shek Husen","Chachatu","Babile Cacatu sulula","Lowland","Learning",2017,1,"January",6.94663047791,NA,NA,NA,NA,NA,NA,NA,0.221582284697
"Babile","Shek Husen","Chachatu","Babile Cacatu sulula","Lowland","Learning",2017,2,"February",3.69362688065,NA,NA,NA,NA,NA,NA,NA,0.181342664438
"Babile","Shek Husen","Chachatu","Babile Cacatu sulula","Lowland","Learning",2017,3,"March",53.6083602905,NA,NA,NA,NA,NA,NA,NA,0.173858910206
"Babile","Shek Husen","Chachatu","Babile Cacatu sulula","Lowland","Learning",2017,4,"April",18.6790885925,NA,NA,NA,NA,NA,NA,NA,0.219859750723
"Babile","Shek Husen","Chachatu","Babile Cacatu sulula","Lowland","Learning",2017,5,"May",91.7674789429,NA,NA,NA,NA,NA,NA,NA,0.339594795099
"Babile","Shek Husen","Chachatu","Babile Cacatu sulula","Lowland","Learning",2017,6,"June",35.2238464355,NA,NA,NA,NA,NA,NA,NA,0.326435954751
"Babile","Shek Husen","Chachatu","Babile Cacatu sulula","Lowland","Learning",2017,7,"July",51.9642181396,NA,NA,NA,NA,NA,NA,NA,0.301502621212
"Babile","Shek Husen","Chachatu","Babile Cacatu sulula","Lowland","Learning",2017,8,"August",86.2646331787,NA,NA,NA,NA,NA,NA,NA,0.355568038007
"Babile","Shek Husen","Chachatu","Babile Cacatu sulula","Lowland","Learning",2017,9,"September",145.222595215,NA,NA,NA,NA,NA,NA,NA,0.386279037885
"Babile","Shek Husen","Chachatu","Babile Cacatu sulula","Lowland","Learning",2017,10,"October",15.7976818085,NA,NA,NA,NA,NA,NA,NA,0.384399963877
"Babile","Shek Husen","Chachatu","Babile Cacatu sulula","Lowland","Learning",2017,11,"November",5.90955066681,NA,NA,NA,NA,NA,NA,NA,0.289972473899
"Babile","Shek Husen","Chachatu","Babile Cacatu sulula","Lowland","Learning",2017,12,"December",4.18646335602,0.00189246986241744,5.02261501485589,22.7550576257073,6.83181620332696,65.3886186862474,27.7795651104256,72.2204348895744,0.221911114076
"Babile","Shek Husen","Chachatu","Babile Cacatu sulula","Lowland","Learning",2018,1,"January",8.26162910461,0.102193372570542,1.91896444049129,18.3683124846237,24.136560625272,55.4739690770425,20.3894702976855,79.6105297023145,0.192934488538
"Babile","Shek Husen","Chachatu","Babile Cacatu sulula","Lowland","Learning",2018,2,"February",7.40593338013,1.43259968585,1.79406142957173,58.8122859143468,5.10777615866467,32.8532768115668,62.0389470297686,37.9610529702314,0.169006593274
"Babile","Shek Husen","Chachatu","Babile Cacatu sulula","Lowland","Learning",2018,3,"March",44.4971008301,0.0359569273859314,6.37951590620919,48.3639598039401,0.982191858594652,44.2383755038701,54.7794326375352,45.2205673624648,0.206459088891
